,Tweet,Date
49,"RT @tailopez: I’m blessing 2 people with $1,000 in Bitcoin in the next 24 hours! (Just like I did the other week)

$500 in Bitcoin will go…",2021-11-09 11:08:56+00:00
50,"RT @AirdropStario: 💧 Heroes TD Airdrop 💧

🏆 Task:          ➕ 50 NFT Bronze » Total airdrop pool.

👨‍👩‍👧 Referral:   ➕  10 Points

🔛 Airdrop…",2021-11-09 11:08:55+00:00
51,"RT @catecoinbaby: Another Achievement, 2K holders! In just 22hrs 🐱🚀

#BABYCATECOIN #catecoin #catecoinarmy #BabyDoge #floki #dogecoin #shib…",2021-11-09 11:08:55+00:00
52,"10 things in tech you need to know today
#blowge #daily #news #blog #news #fox #trump #breaking #breakingnews #tech… https://t.co/zTBTCWStlH",2021-11-09 11:08:55+00:00
53,"#Bitcoin is breaking out like a snail, but it's doing good things all over my portfolio. Go $BTC

#Crypto",2021-11-09 11:08:55+00:00
54,"RT @thecryptobasic: Latin American Citizens Can Now Rent Private Jets And Helicopters Using Bitcoin.

https://t.co/YDVNAm93Db

#LatinAmeric…",2021-11-09 11:08:55+00:00
55,"@FinMinIndia 
ZIMBABWE      COUNTRY    
             ACCEPTED
       BITCOIN  CRYPTO 🤑

https://t.co/jRQ6BmUn6O",2021-11-09 11:08:55+00:00
56,"@Bitcoin I keep DCA. Long HODL plan, not for me, for my descendants. Got a meaningful job, average salary 2500$ a m… https://t.co/RvsBRdmElL",2021-11-09 11:08:54+00:00
57,"two hours left
#Bitcoin",2021-11-09 11:08:54+00:00
58,An asylum seeker from Myanmar was rescued by New Zealand after jumping from a cargo ship and surviving 23 hours in… https://t.co/W4ya3aXcV1,2021-11-09 11:08:54+00:00
59,"RT @MrPlanN: How to buy Real Estate with #Bitcoin &amp; #Crypto 

✅ Canada
✅ USA

https://t.co/kbc3Yc2XRG https://t.co/GWsIU0ivJ4",2021-11-09 11:08:53+00:00
60,"RT @KalataOfficial: 🧐Many people may not understand the human debt redemption function of ""Squid Game"" and cryptocurrency

👉2008 global fin…",2021-11-09 11:08:53+00:00
61,RT @scorpoioking: How all HoLdrs feel right now #Bitcoin #Crypto https://t.co/iEKFr5joXL,2021-11-09 11:08:53+00:00
62,RT @BTC_Archive: 💥BREAKING: MasterCard is launching #Bitcoin-backed cards across the Asia-Pacific region after announcing 3 partnerships to…,2021-11-09 11:08:53+00:00
63,"Bitcoin nears $70,000, while ether eyes $5,000 as the rally extends into a fourth day, aided by a weaker dollar and… https://t.co/RtjV5VSbJa",2021-11-09 11:08:52+00:00
64,"RT @Rifqichydi: @DrnkMetaverse This is so amazing. I am impressed with this project, hopefully with this event the community and especially…",2021-11-09 11:08:51+00:00
65,"I bet @SpencerKSchiff will be richer than his father before the end of his dads life @PeterSchiff.
Ill bet you 1 Bitcoin Peter. :P",2021-11-09 11:08:51+00:00
66,"RT @RektProof: Back when I started my Twitter I decided to grow an account alongside it with strict managed risks of 1%. 

6 months of cons…",2021-11-09 11:08:51+00:00
67,"RT @VeilleCyber3: Bank of China Reveals Machine That Converts #ForeignCurrency to #DigitalYuan
https://t.co/21GcWYEjaV

#Robotics #AIEthics…",2021-11-09 11:08:51+00:00
68,@joyjoyttt Yessir just wait till bitcoin really pumps and money goes into alts up up and away #coti lfg #coti🔭🌕,2021-11-09 11:08:50+00:00
69,@BugRegular @Tony_Sycamore puts you off owning Bitcoin,2021-11-09 11:08:50+00:00
70,"RT @camilacampton: Bitcoin at $69,420 will the most iconic price ever. 

6 + 9 + 4 + 2 + 0 = 21

Few.",2021-11-09 11:08:50+00:00
71,RT @gaborgurbacs: “Bitcoin CEO to increase prices to combat inflation.” ✅ https://t.co/x2ddouyHrS,2021-11-09 11:08:50+00:00
72,"US futures linger at all-time highs while cryptos hit new records, as Fed rings alarm on market risks
#blowge… https://t.co/KneYK27TCs",2021-11-09 11:08:49+00:00
73,"RT @APompliano: The internet breaks when we hit $69,420 bitcoin price.",2021-11-09 11:08:49+00:00
74,"RT @AirdropStario: 💧 Droopy Inu Airdrop 💧

🏆 Task:          ➕ Up to 2 Million DOFI INU (~$12)

👨‍👩‍👧 Referral:   ➕ 400,000 DOFI INU (~$2.4)…",2021-11-09 11:08:48+00:00
75,"RT @airdropinspect: New airdrop: Vibranium (DKMT)
Total Reward: 20,000 DKMT
Rate:⭐️⭐️⭐️⭐️
Winners: 1,000 Random &amp; Top 50
Distribution: with…",2021-11-09 11:08:48+00:00
76,"RT @thecryptobasic: Newly Elected New York’s Mayor, Eric Adams Will Take His First Three Paychecks In Bitcoin.

https://t.co/tpdgylZDQ2

#M…",2021-11-09 11:08:48+00:00
77,"RT @zhusu: Some tradfi plebs asked last week ""what catalysts are left for BTC""

I asked if they realized Bitcoin will be doing its first so…",2021-11-09 11:08:48+00:00
78,"RT @tailopez: I’m blessing 2 people with $1,000 in Bitcoin in the next 24 hours! (Just like I did the other week)

$500 in Bitcoin will go…",2021-11-09 11:08:47+00:00
79,"RT @RonnieMoas: #bitcoin $500,000-$1 mln (well) before 2030 is a near certainty at this point &gt; I estimate/forecast this at 60%-70% probabi…",2021-11-09 11:08:47+00:00
80,"A 9-year-old is in a coma after he fell off his dad's shoulders at Astroworld and was trampled
#blowge #daily #news… https://t.co/x4Iastkos5",2021-11-09 11:08:47+00:00
81,"RT @BitcoinMagazine: #Bitcoin hit a new all-time high of over $67,000! https://t.co/kTWNrnSwqd",2021-11-09 11:08:47+00:00
82,"$SHIB is breaking out on huge news, $1.54 price target 🚀🚀🚀

$ADA $BTC $ETH $ETC $SOL $TRIBE $OMG $ANKR $AMP $HOOD… https://t.co/YDQ52ms4NN",2021-11-09 11:08:46+00:00
83,@Cointelegraph A great leader would cancel the central bank and tell all the citizens and corporations to stack as… https://t.co/jRMLE1VxEU,2021-11-09 11:08:46+00:00
84,RT @BitcoinMagazine: #Bitcoin adoption only grows. https://t.co/xJTMCyBgZ6,2021-11-09 11:08:46+00:00
85,"RT @CEOAdam: TWITTER POLL #2: As you know, you can now purchase AMC gift cards using cryptocurrency, and our IT group is writing code so th…",2021-11-09 11:08:45+00:00
86,"RT @rektcapital: #BTC has broken out to new All Time Highs

$ETH has made a new All Time Highs today

Even $LTC has broken out

Today is a…",2021-11-09 11:08:44+00:00
87,"RT @AirdropDet: 🔍 New #Airdrop: Shiba Santa

💲 Reward: Up to 1800 SHIBA SANTA + 2M SHIBA SANTA referral pool

🔴 Start the airdrop bot: http…",2021-11-09 11:08:43+00:00
88,"RT @shibbank1: 🎉SHIBK go to the moon very soon🚀

#SHIBK #Bitcoin #SHIB #Doge https://t.co/YbtwG6WUeh",2021-11-09 11:08:43+00:00
89,"RT @AirdropDet: 🔍 New #Airdrop: Shiba Santa

💲 Reward: Up to 1800 SHIBA SANTA + 2M SHIBA SANTA referral pool

🔴 Start the airdrop bot: http…",2021-11-09 11:08:43+00:00
90,"RT @GilbertJoekpata: Everything is playing out as analyzed, the new leg, #Bitcoin hitting a new ALL-TIME HIGH.

As long as the market struc…",2021-11-09 11:08:43+00:00
91,"RT @mikealfred: If you didn't buy #Bitcoin at $2,000, $3,000, $5,000, $7,000, $9,000, $12,000, $15,000, $18,000, $20,000, $25,000, $32,000,…",2021-11-09 11:08:42+00:00
92,"RT @VeThorVendetta: #VeChain Trending once again. Do your thing fam.

Like, Retweet, Comment.

#VeChain #VeFam #BelieVET $VET $VTHO #VeTrai…",2021-11-09 11:08:42+00:00
93,RT @scorpoioking: How all HoLdrs feel right now #Bitcoin #Crypto https://t.co/iEKFr5joXL,2021-11-09 11:08:42+00:00
94,RT @BTC_Archive: 💥BREAKING: MasterCard is launching #Bitcoin-backed cards across the Asia-Pacific region after announcing 3 partnerships to…,2021-11-09 11:08:41+00:00
95,"RT @AirdropStario: 💧 Heroes TD Airdrop 💧

🏆 Task:          ➕ 50 NFT Bronze » Total airdrop pool.

👨‍👩‍👧 Referral:   ➕  10 Points

🔛 Airdrop…",2021-11-09 11:08:41+00:00
96,"RT @richardturrin: How #China is winning in payments and #CBDC.  Great interview by @LexSokolin, author of my favorite weekly read @finblue…",2021-11-09 11:08:41+00:00
97,RT @Scaramucci: $70k on #Bitcoin coming up.  Large institutional demand has finally arrived. Trying to get in orders before 2022.,2021-11-09 11:08:41+00:00
98,"RT @captainbuy: #FTT / #USDT Macro View

FTT is in the accumulation zone.
After accumulation, $1000 is not a drama.

#Bitcoin     #Binance …",2021-11-09 11:08:41+00:00
99,"RT @SafemoonWarrior: #SAFEMOON 
#Bitcoin hits All-Time High 🔥 https://t.co/esd0mRc05E",2021-11-09 11:08:41+00:00
100,RT @tomskiweb: No crystal ball just technical analysis #bitcoin https://t.co/2kH6j8WrnP,2021-11-09 11:08:40+00:00
101,"RT @AirdropCamels: Attention Bitcoin Cash Holders, Go to https://t.co/59irr822z6 to Claim your 10,000 Free Lovecoin Tokens Airdrop. 

Lovec…",2021-11-09 11:08:40+00:00
102,"RT @LovecoinProject: ❤️10,000,000 LOVECOIN GIVEAWAY RAFFLE CONTEST ❤️

RETWEET THIS POST &amp; POST YOUR LOVECOIN ADDRESS IN THE COMMENT SECTIO…",2021-11-09 11:08:40+00:00
103,"RT @AirdropStario: 💧 Droopy Inu Airdrop 💧

🏆 Task:          ➕ Up to 2 Million DOFI INU (~$12)

👨‍👩‍👧 Referral:   ➕ 400,000 DOFI INU (~$2.4)…",2021-11-09 11:08:39+00:00
104,"CRYPTO NEWS: Cryptocurrency market value tops $3 trillion for first time, bitcoin reaches fresh peak - Firstpost… https://t.co/TZVhxAF3aL",2021-11-09 11:08:39+00:00
105,RT @thecryptobasic: Michael Saylor Says Bitcoin ETFs Will Take Financial Markets By Storm And Will Completely Replace Gold ETFs In Few Year…,2021-11-09 11:08:39+00:00
106,"RT @BTC_LN: The reason this time it's 𝘁𝗿𝘂𝗹𝘆 different: Previously, cashing out some #Bitcoin to fiat was suboptimal but acceptable as fiat…",2021-11-09 11:08:38+00:00
107,RT @rejvons: Might be one of the best twitter-threads I've read! Well done @dergigi! #Bitcoin,2021-11-09 11:08:37+00:00
108,"RT @tailopez: I’m blessing 2 people with $1,000 in Bitcoin in the next 24 hours! (Just like I did the other week)

$500 in Bitcoin will go…",2021-11-09 11:08:37+00:00
109,"If you're in the crypto market, we're on the same team 👊.

#Bitcoin $ETH $XRP #ALTSEASON #Alts",2021-11-09 11:08:36+00:00
110,@AugustinJiang Thanks for shared this wonderful opportunityHopefully the project will be better in the future.… https://t.co/kgBAbpmvjR,2021-11-09 11:08:36+00:00
111,RT @BTC_Archive: #Bitcoin to $100K is inevitable.,2021-11-09 11:08:36+00:00
112,"RT @BitcoinJournal1: The USD is burning itself. A black hole. 

Thank God for #bitcoin https://t.co/zPnSWIzHsp",2021-11-09 11:08:36+00:00
113,"RT @WatcherGuru: There are 3.5 Billion smartphones on the planet. 

All of them can hold #Bitcoin, none of them can hold #Gold.",2021-11-09 11:08:35+00:00
114,"RT @nayibbukele: #Bitcoin is at $68,000 😬

More schools coming...

By the way, @chivopets, the new vet hospital we just announced, is comin…",2021-11-09 11:08:35+00:00
115,"Bitcoin, Ethereum hit all-time high https://t.co/YYimTTyBU9",2021-11-09 11:08:35+00:00
116,"RT @Cointelegraph: The countdown to $99K Bitcoin is on! 

Crypto Twitter is excited about the new ATH as faith is restored in the Stock-to-…",2021-11-09 11:08:35+00:00
117,"RT @peterhuntcrypto: I'm looking for the next 100x gem! 💎🤩😎

#Moonvember #DiamondHands #DiamondPaws #BSC  #BSCGems #Bitcoin  #BTC  #bnb",2021-11-09 11:08:35+00:00
118,@CryptoAdventure @qtum @QtumNews #bitcoin horizontal support around 66.9k and rising MA-50 line at 67.1k any longer… https://t.co/ryc44MyPjh,2021-11-09 11:08:35+00:00
119,RT @scorpoioking: How all HoLdrs feel right now #Bitcoin #Crypto https://t.co/iEKFr5joXL,2021-11-09 11:08:34+00:00
120,"RT @Cointelegraph: The countdown to $99K Bitcoin is on! 

Crypto Twitter is excited about the new ATH as faith is restored in the Stock-to-…",2021-11-09 11:08:34+00:00
121,"RT @crypto_caesar1: Seems to be going to plan then 🤝

Stick to the plan 101. 

#Bitcoin",2021-11-09 11:08:34+00:00
122,"What coin would be the FIRST to break its’ previous All Time High??

$BTC 
$ETH 
$XRP 
$ADA 
$MATIC 
$SHIB 
$FEG… https://t.co/uoYYVzmPZM",2021-11-09 11:08:34+00:00
123,"RT @KalataOfficial: 🧐Many people may not understand the human debt redemption function of ""Squid Game"" and cryptocurrency

👉2008 global fin…",2021-11-09 11:08:34+00:00
124,@airdropinspect Hopefully this quality project will be successful. Good project and strong team.🔥🔥🔥… https://t.co/m0GXQSfie6,2021-11-09 11:08:33+00:00
125,"RT @airdropinspect: New airdrop: FoxTopia
Total Reward: $23,000 worth NFTs
Rate: ⭐️⭐️⭐️⭐️
Winners: 80 Random &amp; Top 10
Distribution: after T…",2021-11-09 11:08:33+00:00
126,"RT @AirdropStario: 💧 Heroes TD Airdrop 💧

🏆 Task:          ➕ 50 NFT Bronze » Total airdrop pool.

👨‍👩‍👧 Referral:   ➕  10 Points

🔛 Airdrop…",2021-11-09 11:08:33+00:00
127,I am thinking if U are build pool for mining like #Ethereum and #Bitcoin will be good #C98,2021-11-09 11:08:33+00:00
128,RT @FortuneMagazine: Cryptocurrencies hit market cap of $3 trillion for the first time as Bitcoin and Ether reach record highs https://t.co…,2021-11-09 11:08:32+00:00
129,"RT @MrPlanN: How to buy Real Estate with #Bitcoin &amp; #Crypto 

✅ Canada
✅ USA

https://t.co/kbc3Yc2XRG https://t.co/GWsIU0ivJ4",2021-11-09 11:08:32+00:00
130,"RT @Steam_Exchange: #SteamExchange x Yahoo Finance

• All of your Digital Asset needs under one 🏡

https://t.co/COopZrsOY8

$SteamX
#Bitcoi…",2021-11-09 11:08:32+00:00
131,"RT @ONUSFinance: 💰 $5,000 Giveaway #Airdrop 💰

🙏 Thank you for following #ONUS on Twitter

To join in 👇
🔹Follow  @ONUSFinance
🔹Like &amp; Retwe…",2021-11-09 11:08:32+00:00
132,"RT @DefiChain_Facts: 🟥6 days until @defichain Fort Canning upgrade🟥

The light wallet update will be available about a week later.

Put you…",2021-11-09 11:08:31+00:00
133,@tomskiweb #Bitcoin  has broken out and is challenging new highs above $68k There is a short-term bullish set-up fo… https://t.co/oCEIHo5soz,2021-11-09 11:08:31+00:00
134,@nfttutor @LaidBackLlamas the best !!,2021-11-09 11:08:31+00:00
135,"RT @tailopez: I’m blessing 2 people with $1,000 in Bitcoin in the next 24 hours! (Just like I did the other week)

$500 in Bitcoin will go…",2021-11-09 11:08:31+00:00
136,"Thanks for shared this wonderful opportunityHopefully the project will be better in the future.

@BeeG_Brother… https://t.co/29wu5H5yxF",2021-11-09 11:08:31+00:00
137,"RT @tailopez: I’m blessing 2 people with $1,000 in Bitcoin in the next 24 hours! (Just like I did the other week)

$500 in Bitcoin will go…",2021-11-09 11:08:30+00:00
138,"RT @airdropinspect: New airdrop: Polkawar (PWAR)
Total Reward: 10,000 PWAR
Rate:⭐️⭐️⭐️⭐️
Winners: for all
Distribution: 30th November

Bot…",2021-11-09 11:08:30+00:00
139,"@redpandatoken 

HOLDERS
9268

PRICE
$0.00000000002983
#Bitcoin",2021-11-09 11:08:28+00:00
140,RT @JadeMontano10: Just when U thought It ain’t gonna get any better #SaitamaToken 🎰🎰🎰 like hitting the jackpot fire 🔥 #cryptocurrency #Bit…,2021-11-09 11:08:28+00:00
141,"RT @AirdropStario: 💧 Droopy Inu Airdrop 💧

🏆 Task:          ➕ Up to 2 Million DOFI INU (~$12)

👨‍👩‍👧 Referral:   ➕ 400,000 DOFI INU (~$2.4)…",2021-11-09 11:08:28+00:00
142,"RT @JPEGwealthy: Bitcoin  giveaway (yes for real) 

1) Follow @Pizzada_io 
2) Retweet 
3) follow me @JPEGwealthy 

Must complete all steps.…",2021-11-09 11:08:27+00:00
143,"RT @malikiumar085: Hello my ppl 💕
I beg u in d name of God 🙏 rt my sales. A THREAD ☀️

Caps 7k
Jerseys 5k
Joggers 5k
Jeans 6k
Yards 4k
Shad…",2021-11-09 11:08:27+00:00
144,"RT @airdropinspect: New airdrop: Vibranium (DKMT)
Total Reward: 20,000 DKMT
Rate:⭐️⭐️⭐️⭐️
Winners: 1,000 Random &amp; Top 50
Distribution: with…",2021-11-09 11:08:27+00:00
145,"@PeterLBrandt can you give us a new chart showing your parabola on #bitcoin please, Peter? I’m on Bitcoin Live if y… https://t.co/KBPXlevC28",2021-11-09 11:08:27+00:00
146,"RT @AirdropDet: 🔍 New #Airdrop: Shiba Santa

💲 Reward: Up to 1800 SHIBA SANTA + 2M SHIBA SANTA referral pool

🔴 Start the airdrop bot: http…",2021-11-09 11:08:27+00:00
147,"RT @CryptoWhale: #Tether's printer is on full-speed and printing billions of $USDT out of thin air to artificially pump up #Bitcoin

This i…",2021-11-09 11:08:26+00:00
148,"The taproot upgrade single-handedly makes #bitcoin safer, faster and cheaper while opening the door for the next on… https://t.co/GcvDirkmSC",2021-11-09 11:08:26+00:00
149,"Better to die on your feet than live on your knees.
#Phkshnalpsykopf https://t.co/Gujh9x70Dx",2021-11-09 11:08:26+00:00
150,@Rick1338x @BTC_Archive @binamonok If only bitcoin had a play 2 earn game like @binamonok and there p2e runner game… https://t.co/j2gnF44rRr,2021-11-09 11:08:25+00:00
151,RT @BTC_Archive: El Salvador started building this pet hospital with #Bitcoin profits 🙌 https://t.co/Kr8EiGTPzI,2021-11-09 11:08:25+00:00
152,"RT @MrPlanN: How to buy Real Estate with #Bitcoin &amp; #Crypto 

✅ Canada
✅ USA

https://t.co/kbc3Yc2XRG https://t.co/GWsIU0ivJ4",2021-11-09 11:08:25+00:00
153,"RT @MikeyFergus_: The USD has dropped to a record breaking low, due to surges in popularity toward #bitcoin this is validation to STOP usin…",2021-11-09 11:08:24+00:00
154,"RT @nayibbukele: #Bitcoin is at $68,000 😬

More schools coming...

By the way, @chivopets, the new vet hospital we just announced, is comin…",2021-11-09 11:08:24+00:00
155,@tokencentauri Do they offer full transparency on costs? Do they lock in investors' money to protect and return the… https://t.co/rOPaPaGh0a,2021-11-09 11:08:24+00:00
156,"RT @kishujav: Morning all! @InuKishu  is growing so fast💛
#Coinsbit listing 
4,000+ new holders over the weekend
43,500+ new holders in the…",2021-11-09 11:08:24+00:00
157,@bchydro explain to me how someone who doesn’t own a house or a car… how MY carbon footprint has increased but… https://t.co/OwC4TF1Wor,2021-11-09 11:08:24+00:00
158,@fragma_net 🥳We will be happy to see the achievements and results of this excellent project. to the moon… https://t.co/Hw2VQ6HiXC,2021-11-09 11:08:23+00:00
159,"NOTHING CAN STOP #BITCOIN 🔥🚀

GET IT WHILE IT'S CHEAP!
EVERY SAT UNDER $500K IS CHEAP! https://t.co/MDUXcujRpZ",2021-11-09 11:08:23+00:00
160,"RT @PigBossToken: 🔥 Pigboss Airdrop (Pigboss)
⭐️⭐️⭐️ 3/3 stars
💰 Reward: 500 PigBoss ~ $100
👥 Referral: 5 PigBoss ~ $1
🚀 Airdrop link: http…",2021-11-09 11:08:21+00:00
161,RT @crypto_birb: IT'S HAPPENING! Ive just released the most important market update you'll read in next months. In this free $BTC report yo…,2021-11-09 11:08:21+00:00
162,@RektProof @TheCryptoDog A great leader would cancel the central bank and tell all the citizens and corporations to… https://t.co/HMtJHyhIf2,2021-11-09 11:08:21+00:00
163,RT @richplmartin: #Bitcoin to $100K is inevitable. 🚀🌕,2021-11-09 11:08:19+00:00
