,level_0,Unnamed: 0,index,Unnamed: 0.1,Text,Label,processed
31,31,31,31,31,bitcoins global reach amp neutrality could make currency choice international trade read,0,bitcoin global reach amp neutrality could make currency choice international trade read
32,32,32,32,32,best documentary ever bitcoin phenomenon,0,good documentary ever bitcoin phenomenon
33,33,33,33,33,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
34,34,34,34,34,expectations interest rate hike growing city bitcoin close time high,1,expectation interest rate hike grow city bitcoin close time high
35,35,35,35,35,cme sees record open interest bitcoin futures ahead etf debut,1,cme see record open interest bitcoin future ahead etf debut
36,36,36,36,36,keep simple keep fast,0,keep simple keep fast
37,37,37,37,37,team done great job small part benefits fux ready fly flux,1,team do great job small part benefit fux ready fly flux
38,38,38,38,38,investing today save stress financial crisis tomorr,0,invest today save stress financial crisis tomorr
39,39,39,39,39,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section,0,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section
40,40,40,40,40,social media shit place dont bring children stupid social media rant bitcoin,0,social medium shit place do nt bring child stupid social medium rant bitcoin
41,41,41,41,41,awardpool airdrop bot get app join tasks free bnb retweet amp,1,awardpool airdrop bot get app join task free bnb retweet amp
42,42,42,42,42,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
43,43,43,43,43,recent metrics variety analytical web po show quantity whales shrinking recent,0,recent metric variety analytical web po show quantity whale shrink recent
44,44,44,44,44,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b,0,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b
45,45,45,45,45,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
46,46,46,46,46,pov short buff year old man enters ur home teaches ur mother abt bitcoin,0,pov short buff year old man enter ur home teach ur mother abt bitcoin
47,47,47,47,47,lets please donated btc october pm saying femco lied bitc,0,lets please donate btc october pm say femco lie bitc
48,48,48,48,48,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
49,49,49,49,49,bitcoin biggest volume become kind default theres set fixed number bitcoin thatll,1,bitcoin big volume become kind default there s set fix number bitcoin that ll
50,50,50,50,50,fair really think bashing bitcoin saying useful sov right fine,0,fair really think bash bitcoin say useful sov right fine
51,51,51,51,51,crypto prices usd bitcoin ethereum binance cardano tether,0,crypto price usd bitcoin ethereum binance cardano tether
52,52,52,52,52,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
53,53,53,53,53,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
54,54,54,54,54,manager bitcoin would like speak please,0,manager bitcoin would like speak please
55,55,55,55,55,bitcoin news netherlands,0,bitcoin news netherland
56,56,56,56,56,politics winning move play opt buy,1,politic win move play opt buy
57,57,57,57,57,time high weekly close things watch week,1,time high weekly close thing watch week
58,58,58,58,58,ath next hours guaranteed,0,ath next hour guarantee
59,59,59,59,59,another shake sunday waiting monday pump,0,another shake sunday wait monday pump
60,60,60,60,60,investing today save stress financial crisis tomorrow live kind life want,0,invest today save stress financial crisis tomorrow live kind life want
61,61,61,61,61,impo lesson bitcoin etf taught,1,impo lesson bitcoin etf teach
62,62,62,62,62,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
63,63,63,63,63,central bank released report shows brazilians purchased billion impor,0,central bank release report show brazilian purchase billion impor
64,64,64,64,64,crypto scam one decentralised monetary network,1,crypto scam one decentralise monetary network
65,65,65,65,65,last purchase days ago time let sink,0,last purchase day ago time let sink
66,66,66,66,66,hey joined network called surveyj earned today get paid testing new free app,1,hey join network call surveyj earn today get pay test new free app
67,67,67,67,67,hmm going major amazing week,1,hmm go major amazing week
68,68,68,68,68,closure tonight spaces mark bitcoin maxis preston mark cuban ask stop talking,0,closure tonight space mark bitcoin maxis preston mark cuban ask stop talk
69,69,69,69,69,new hero arena reward hera hera referral pool start airdrop bot h,0,new hero arena reward hera hera referral pool start airdrop bot h
70,70,70,70,70,lets see bitcoin futures etf whatever twitter sentiment fade,0,let see bitcoin future etf whatever twitter sentiment fade
71,71,71,71,71,john stated doge coming well bitc,0,john state doge come well bitc
72,72,72,72,72,anyone hold doge keep date market,0,anyone hold doge keep date market
73,73,73,73,73,whats happening first,0,what s happen first
74,74,74,74,74,buy nim non custodial fiat crypto atomic swap sta limited public beta janua,0,buy nim non custodial fiat crypto atomic swap sta limited public beta janua
75,75,75,75,75,highest ever weekly close,0,high ever weekly close
76,76,76,76,76,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
77,77,77,77,77,investing today save stress financial crisis tomorrow live kind life want,0,invest today save stress financial crisis tomorrow live kind life want
78,78,78,78,78,bitcoin price best weekly close history,0,bitcoin price good weekly close history
79,79,79,79,79,one k candle away new time high,0,one k candle away new time high
80,80,80,80,80,every cycle history ended red month followed green months,0,every cycle history end red month follow green month
81,81,81,81,81,performance year ethereum bitcoin nvidia google snapchat microsoft sal,0,performance year ethereum bitcoin nvidia google snapchat microsoft sal
82,82,82,82,82,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
83,83,83,83,83,markets potential deliver subscribers much higher returns th,1,market potential deliver subscriber much high return th
84,84,84,84,84,spirit original lives peer peer electronic cash system curr,1,spirit original life peer peer electronic cash system curr
85,85,85,85,85,team done great job small part benefits fux ready fly flux,1,team do great job small part benefit fux ready fly flux
86,86,86,86,86,first think financial freedom realize,0,first think financial freedom realize
87,87,87,87,87,random person follow like,1,random person follow like
88,88,88,88,88,keep simple keep fast,0,keep simple keep fast
89,89,89,89,89,think happening k retweet agree,0,think happen k retweet agree
90,90,90,90,90,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section b,0,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section b
91,91,91,91,91,thrilled announce featured secures,1,thrill announce feature secure
92,92,92,92,92,dips getting eaten fast k buy sent right back mcapinsane adve campaign chine,0,dip getting eat fast k buy send right back mcapinsane adve campaign chine
93,93,93,93,93,etfs trade like stocks buy sell like stocks game changer bitcoin,0,etfs trade like stock buy sell like stock game changer bitcoin
94,94,94,94,94,impossible run away says zimbabwe finance minister via,1,impossible run away say zimbabwe finance minister via
95,95,95,95,95,poll price bitcoin january st,1,poll price bitcoin january st
96,96,96,96,96,moving together hold earn hamster community always suppo bitcoin http,0,move together hold earn hamster community always suppo bitcoin http
97,97,97,97,97,gm everyone slept debating last night tldr version h,0,gm everyone sleep debate last night tldr version h
98,98,98,98,98,tu finance growing looking people help us reach even users world want,1,tu finance grow look people help we reach even user world want
99,99,99,99,99,broke,0,break
100,100,100,100,100,investing today save stress financial crisis tomorrow live kind life,0,invest today save stress financial crisis tomorrow live kind life
101,101,101,101,101,make people earn rand without sending money anyone going anywhere sit,0,make people earn rand without send money anyone go anywhere sit
102,102,102,102,102,keep simple keep fast,0,keep simple keep fast
103,103,103,103,103,obvious winners new bitcoin futures etf professional traders wealthy clients familiar,1,obvious winner new bitcoin future etf professional trader wealthy client familiar
104,104,104,104,104,longed bybit btcusdhe hesitates masturbates chip douglas cable guy,0,long bybit btcusdhe hesitate masturbate chip douglas cable guy
105,105,105,105,105,million,0,million
106,106,106,106,106,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b,0,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b
107,107,107,107,107,oh yes amazing project tokenomics king self,1,oh yes amazing project tokenomic king self
108,108,108,108,108,retweet believe hit k tomorrow,0,retweet believe hit k tomorrow
109,109,109,109,109,giving away bnb complete tasks follow retweet like auto g,0,give away bnb complete task follow retweet like auto g
110,110,110,110,110,investing today save stress financial crisis tomorrow live kind life w,0,invest today save stress financial crisis tomorrow live kind life w
111,111,111,111,111,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
112,112,112,112,112,thrilled announce featured secures,1,thrill announce feature secure
113,113,113,113,113,wellbe coin nd round airdrop task welb referral welb aird,0,wellbe coin nd round airdrop task welb referral welb aird
114,114,114,114,114,psychosis believing moment open sho year bull trend instantly reverses living reality understan,0,psychosis believe moment open sho year bull trend instantly reverse live reality understan
115,115,115,115,115,bitcoin taught economics finance investing politics history psychology game theory technology regulation,0,bitcoin teach economic finance investing politic history psychology game theory technology regulation
116,116,116,116,116,thrilled announce featured secures,1,thrill announce feature secure
117,117,117,117,117,could crypto twitter harm inexperienced investors tweets encouraged people use cheap debt buy b,1,could crypto twitter harm inexperienced investor tweet encourage people use cheap debt buy b
118,118,118,118,118,said sell bitcoin balanced po always btc eth stablecoins alts,0,say sell bitcoin balanced po always btc eth stablecoin alt
119,119,119,119,119,please give amount bitcoin amount want need help please axlg gpdn hsujanp pxcwms qdai,0,please give amount bitcoin amount want need help please axlg gpdn hsujanp pxcwm qdai
120,120,120,120,120,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
121,121,121,121,121,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
122,122,122,122,122,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
123,123,123,123,123,crypto network team sending bnb lucky wallet follow tasks free bnb follow retweet,1,crypto network team send bnb lucky wallet follow task free bnb follow retweet
124,124,124,124,124,make investment priority life secure future know say grateful,0,make investment priority life secure future know say grateful
125,125,125,125,125,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b,0,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b
126,126,126,126,126,thrilled announce featured secures,1,thrill announce feature secure
127,127,127,127,127,el salvador seeing influx dollars btc bitcoin prices rise,0,el salvador see influx dollar btc bitcoin price rise
128,128,128,128,128,bull market yeswill dips way newer newer time highs coursewill,0,bull market yeswill dip way newer new time high coursewill
129,129,129,129,129,soft cash airdrop task soft referral soft airdrop l,0,soft cash airdrop task soft referral soft airdrop l
130,130,130,130,130,turning grab,0,turn grab
131,131,131,131,131,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
132,132,132,132,132,stop misguiding audience bitcoin always going,1,stop misguide audience bitcoin always go
133,133,133,133,133,chz bitcoin ruin pa see,0,chz bitcoin ruin pa see
134,134,134,134,134,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
135,135,135,135,135,impossible run away says zimbabwe finance minister via,1,impossible run away say zimbabwe finance minister via
136,136,136,136,136,wellbe coin nd round airdrop task welb referral welb aird,0,wellbe coin nd round airdrop task welb referral welb aird
137,137,137,137,137,bitcoin brings oppo anyone work doesnt care race religion politics,0,bitcoin bring oppo anyone work do nt care race religion politic
138,138,138,138,138,keep simple keep fast,0,keep simple keep fast
139,139,139,139,139,olympic doge airdrop task millon olympicdoge referral millon olympicdoge airdrop,0,olympic doge airdrop task millon olympicdoge referral millon olympicdoge airdrop
140,140,140,140,140,thank,0,thank
141,141,141,141,141,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
142,142,142,142,142,btc stably k end november giveaway co,0,btc stably k end november giveaway co
143,143,143,143,143,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
144,144,144,144,144,would institutions buy bitcoin futures etf access cme imo another way hedge funds,0,would institution buy bitcoin future etf access cme imo another way hedge fund
145,145,145,145,145,doge whales please remove auto sell orders,0,doge whale please remove auto sell order
146,146,146,146,146,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
147,147,147,147,147,half hourly price update usd bsv bitcoin dead forks laser cucks pedo money launderers,0,half hourly price update usd bsv bitcoin dead fork laser cuck pedo money launderer
148,148,148,148,148,wow amazing outstanding project thank share good project happy join,1,wow amazing outstanding project thank share good project happy join
149,149,149,149,149,bitcoin negotiation,0,bitcoin negotiation
150,150,150,150,150,chinese miners got shut took hashrate go back upbitcoin lost bn nothing happened,0,chinese miner got shut take hashrate go back upbitcoin lose bn nothing happen
151,151,151,151,151,monthly returns since,0,monthly return since
152,152,152,152,152,lets please donated btc october pm saying femco lied bitc,0,lets please donate btc october pm say femco lie bitc
153,153,153,153,153,folks trying predict btc much good tea leaf readers,1,folk try predict btc much good tea leaf reader
154,154,154,154,154,month ago held hams today equals btc,0,month ago hold ham today equal btc
155,155,155,155,155,make people earn rand without sending money anyone going anywhere sit,0,make people earn rand without send money anyone go anywhere sit
156,156,156,156,156,bull market yeswill dips way newer newer time highs coursewill,0,bull market yeswill dip way newer new time high coursewill
157,157,157,157,157,several futures based exchange traded funds may debut u coming weeks,0,several future base exchange trade fund may debut u come week
158,158,158,158,158,new york businesses ask governor deny permits crypto mining news coin telegraph,0,new york business ask governor deny permit crypto mining news coin telegraph
159,159,159,159,159,freedom financial,0,freedom financial
160,160,160,160,160,keep simple keep fast,0,keep simple keep fast
161,161,161,161,161,amount money locked bitcoin futures global derivatives giant surged record highs frid,1,amount money lock bitcoin future global derivative giant surge record high frid
162,162,162,162,162,dogenomics airdrop get free wo dogen cake follow tasks follow retweet amp tag friend,0,dogenomic airdrop get free wo dogen cake follow task follow retweet amp tag friend
163,163,163,163,163,dips getting eaten fast k buy sent right back mcapinsane adve campaign chine,0,dip getting eat fast k buy send right back mcapinsane adve campaign chine
164,164,164,164,164,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
165,165,165,165,165,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
166,166,166,166,166,bitcoin negotiation,0,bitcoin negotiation
167,167,167,167,167,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
168,168,168,168,168,bitcoin price usd ethereum price usd dogecoin price usd safemoon price usd,0,bitcoin price usd ethereum price usd dogecoin price usd safemoon price usd
169,169,169,169,169,exactly mean say teach people strategies whether bitcoin bullish,0,exactly mean say teach people strategy whether bitcoin bullish
170,170,170,170,170,buy bitcoin platform best,0,buy bitcoin platform well
171,171,171,171,171,buy wale whitepaper litepaper understand project double market,0,buy wale whitepaper litepaper understand project double market
172,172,172,172,172,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
173,173,173,173,173,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
174,174,174,174,174,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
175,175,175,175,175,keep simple keep fast,0,keep simple keep fast
176,176,176,176,176,make people earn rand without sending money anyone going anywhere sit,0,make people earn rand without send money anyone go anywhere sit
177,177,177,177,177,bears may run lines redraw relatively soon,0,bear may run line redraw relatively soon
178,178,178,178,178,price rally sees crypto market ove worlds valuable company,1,price rally see crypto market ove world valuable company
179,179,179,179,179,stacking lot lately juicy tokenomics bitcoin first,0,stack lot lately juicy tokenomic bitcoin first
180,180,180,180,180,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
181,181,181,181,181,retweet believe hit k tomorrow,0,retweet believe hit k tomorrow
182,182,182,182,182,wait everyone understands able afford,1,wait everyone understand able afford
183,183,183,183,183,greenminz protocol reduce electricity give money everyone mines low performance,0,greenminz protocol reduce electricity give money everyone mine low performance
184,184,184,184,184,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b,0,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b
185,185,185,185,185,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
186,186,186,186,186,fresh alarm bells crypto market bitcoin soars top prices bitcoin cryptocurrencies saw rem,0,fresh alarm bell crypto market bitcoin soar top price bitcoin cryptocurrencie see rem
187,187,187,187,187,feel happy able work good project,1,feel happy able work good project
188,188,188,188,188,crypto hunchback alien available rarity available opensealink,1,crypto hunchback alien available rarity available opensealink
189,189,189,189,189,yeah could go anywhere buy something hold ont,0,yeah could go anywhere buy something hold ont
190,190,190,190,190,dirt cheap sma starlink internet worldwide intelligence rise digital prope,1,dirt cheap sma starlink internet worldwide intelligence rise digital prope
191,191,191,191,191,keep simple keep fast,0,keep simple keep fast
192,192,192,192,192,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
193,193,193,193,193,addresses holding gt reach time high,1,address hold gt reach time high
194,194,194,194,194,make investment priority life secure future know say grateful,0,make investment priority life secure future know say grateful
195,195,195,195,195,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
196,196,196,196,196,highest ever weekly close,0,high ever weekly close
197,197,197,197,197,soft cash airdrop task soft referral soft airdrop l,0,soft cash airdrop task soft referral soft airdrop l
198,198,198,198,198,thrilled announce featured secures,1,thrill announce feature secure
199,199,199,199,199,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
200,200,200,200,200,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b,0,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b
201,201,201,201,201,still back maybe expect hit new peak end year,0,still back maybe expect hit new peak end year
202,202,202,202,202,shib token giveawayi give million shib token random people follow retweettag friends l,1,shib token giveawayi give million shib token random people follow retweettag friend l
203,203,203,203,203,flying bitup rewards holders passive incoming holdingautomatic btc rewards,0,fly bitup reward holder passive incoming holdingautomatic btc reward
204,204,204,204,204,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
205,205,205,205,205,thrilled announce featured secures,1,thrill announce feature secure
206,206,206,206,206,italian government cares health much send armed henchmen shoot freezing water whi,0,italian government care health much send armed henchman shoot freeze water whi
207,207,207,207,207,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
208,208,208,208,208,hey joined network called surveyj earned today get paid testing new free,1,hey join network call surveyj earn today get pay test new free
209,209,209,209,209,retweet believe hit k tomorrow,0,retweet believe hit k tomorrow
210,210,210,210,210,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
211,211,211,211,211,calling everything bitcoin scam middle ground,0,call everything bitcoin scam middle ground
212,212,212,212,212,today gift eth lucky follower tweet,1,today gift eth lucky follower tweet
213,213,213,213,213,today gift eth lucky follower tweet,1,today gift eth lucky follower tweet
214,214,214,214,214,everything governments break fixes,0,everything government break fix
215,215,215,215,215,wait everyone understands able afford,1,wait everyone understand able afford
216,216,216,216,216,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
217,217,217,217,217,fam highest weekly close roughly usd ever retweet celebrate highs coming soon ht,0,fam high weekly close roughly usd ever retweet celebrate high come soon ht
218,218,218,218,218,king think continue take center stage bit alt season follows bitcoin run,0,king think continue take center stage bit alt season follow bitcoin run
219,219,219,219,219,bitcoin taught economics finance investing politics history psychology game theory technology regulation,0,bitcoin teach economic finance investing politic history psychology game theory technology regulation
220,220,220,220,220,new rippr gaming reward ripr k ripr k referral pool start airdrop bot h,0,new rippr gaming reward ripr k ripr k referral pool start airdrop bot h
221,221,221,221,221,one long position v entry price target stop,0,one long position v entry price target stop
222,222,222,222,222,grayscale rumored planning physically backed btc fund following secs approval bitcoin futures etf,0,grayscale rumor planning physically back btc fund follow sec approval bitcoin future etf
223,223,223,223,223,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section,0,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section
224,224,224,224,224,smart people understand bitcoin ethereum thats people world understand,1,smart people understand bitcoin ethereum that s people world understand
225,225,225,225,225,wait everyone understands able afford,1,wait everyone understand able afford
226,226,226,226,226,treasure hunting mime,0,treasure hunt mime
227,227,227,227,227,today gift eth lucky follower tweet,1,today gift eth lucky follower tweet
228,228,228,228,228,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b,0,new xtblock reward wo xtt b wo xtt b referral pool start airdrop b
229,229,229,229,229,nan,0,nan
230,230,230,230,230,think funny btc maxis love say theyre early believe early cryptocurrencies earl,1,think funny btc maxis love say they re early believe early cryptocurrencie earl
231,231,231,231,231,mexico plans make bitcoin legal tenderdespite excitement throughout latin america took,0,mexico plan make bitcoin legal tenderdespite excitement throughout latin america take
232,232,232,232,232,checked flash loan coin strike could checked flash loanedmore info bio au,0,check flash loan coin strike could check flash loanedmore info bio au
233,233,233,233,233,thrilled announce featured secures,1,thrill announce feature secure
234,234,234,234,234,supply shock key factor evolution bull market people want buy cheap want buy,1,supply shock key factor evolution bull market people want buy cheap want buy
235,235,235,235,235,team done great job small part benefits fux ready fly flux,1,team do great job small part benefit fux ready fly flux
236,236,236,236,236,team done great job small part benefits fux ready fly flux,1,team do great job small part benefit fux ready fly flux
237,237,237,237,237,michael burry big short asked sho crypto days bitcoin hit,0,michael burry big short ask sho crypto day bitcoin hit
238,238,238,238,238,bank england second stage five stages grief anger phase central banks angry,0,bank england second stage five stage grief anger phase central bank angry
239,239,239,239,239,cme sees record open interest bitcoin futures ahead etfdebut,1,cme see record open interest bitcoin future ahead etfdebut
240,240,240,240,240,bull market yeswill dips way newer newer time highs coursewill,0,bull market yeswill dip way newer new time high coursewill
241,241,241,241,241,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
242,242,242,242,242,landorc airdrop listed uniswap task lorc referral lorc,0,landorc airdrop list uniswap task lorc referral lorc
243,243,243,243,243,wait everyone understands able afford,1,wait everyone understand able afford
244,244,244,244,244,keep simple keep fast,0,keep simple keep fast
245,245,245,245,245,fun fact almost millionaires,0,fun fact almost millionaire
246,246,246,246,246,whale spent million accumulating billion shib tokens eth ada,0,whale spend million accumulate billion shib tokens eth ada
247,247,247,247,247,highest ever weekly close,0,high ever weekly close
248,248,248,248,248,guys game time weeks revolution ask serve hot fresh sit back,0,guy game time week revolution ask serve hot fresh sit back
249,249,249,249,249,generation hardly experience stocks bonds heading straight bitcoin ethereum cardano,0,generation hardly experience stock bond head straight bitcoin ethereum cardano
250,250,250,250,250,let start game days good luck geckos,1,let start game day good luck geckos
251,251,251,251,251,show someone power minute ask install android ios,0,show someone power minute ask install android io
252,252,252,252,252,another shake sunday waiting monday pump,0,another shake sunday wait monday pump
253,253,253,253,253,closed weekly chart highest ever price three long bodied green candles b,0,close weekly chart highest ever price three long bodied green candle b
254,254,254,254,254,raising gainers list moon hold earn,0,raise gainer list moon hold earn
255,255,255,255,255,think near future see unprecedented growth project tag,0,think near future see unprecedented growth project tag
256,256,256,256,256,guys game time weeks revolution ask serve hot fresh sit back,0,guy game time week revolution ask serve hot fresh sit back
257,257,257,257,257,acheived first tp min made profit today acc,0,acheive first tp min make profit today acc
258,258,258,258,258,thrilled announce featured secures,1,thrill announce feature secure
259,259,259,259,259,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
260,260,260,260,260,hey joined network called surveyj earned today get paid testing new free,1,hey join network call surveyj earn today get pay test new free
261,261,261,261,261,crypto network team sending bnb lucky wallet follow tasks free bnb follow retweet,1,crypto network team send bnb lucky wallet follow task free bnb follow retweet
262,262,262,262,262,flip silver flip gold,0,flip silver flip gold
263,263,263,263,263,big short investor michael burry sho bitcoin btcusd warns cryptocurrencies bubble,0,big short investor michael burry sho bitcoin btcusd warn cryptocurrencie bubble
264,264,264,264,264,retweet believe hit k tomorrow,0,retweet believe hit k tomorrow
265,265,265,265,265,ethereum keeps reducing time hard trade manually bitcoin easy btc wo,0,ethereum keep reduce time hard trade manually bitcoin easy btc wo
266,266,266,266,266,could crypto twitter harm inexperienced investors tweets encouraged people use cheap debt buy b,1,could crypto twitter harm inexperienced investor tweet encourage people use cheap debt buy b
267,267,267,267,267,exposing catfish asking bitcoin thread,0,expose catfish ask bitcoin thread
268,268,268,268,268,bitcoin altcoin cloud bac new option see seasons bull runs amp rallies,0,bitcoin altcoin cloud bac new option see season bull run amp rally
269,269,269,269,269,btc weak await massive sell upon sec decision either dayreview expectat,1,btc weak await massive sell upon sec decision either dayreview expectat
270,270,270,270,270,please give bitcoin need help please amount want axlg gpdn hsujanp pxcwms qdai,0,please give bitcoin need help please amount want axlg gpdn hsujanp pxcwm qdai
